CODIGO_TRK,CODIGO_SAP
871178,ET871178K
871177,ET8711771
871176,ET8711763
871175,ET8711755
871174,ET8711747
871173,ET8711739
871172,ET8711720
871171,ET8711712
871170,ET8711704
871169,ET8711690
871168,ET8711682
871167,ET8711674
871166,ET8711666
871165,ET8711658
871164,ET871164K
871163,ET8711631
871162,ET8711623
871161,ET8711615
871160,ET8711607
871159,ET8711593
871158,ET8711585
871157,ET8711577
871156,ET8711569
871155,ET8711550
871154,ET8711542
871153,ET8711534
871152,ET8711526
871151,ET8711518
871150,ET871150K
871149,ET8711496
871148,ET8711488
871147,ET871147K
871146,ET8711461
871145,ET8711453
871144,ET8711445
871143,ET8711437
871142,ET8711429
871141,ET8711410
871140,ET8711402
871139,ET8711399
871138,ET8711380
871137,ET8711372
871136,ET8711364
871135,ET8711356
871134,ET8711348
871133,ET871133K
871132,ET8711321
871131,ET8711313
871130,ET8711305
871129,ET8711291
871128,ET8711283
871127,ET8711275
871125,ET8711259
871124,ET8711240
871123,ET8711232
871122,ET8711224
871121,ET8711216
871120,ET8711208
871119,ET8711194
871118,ET8711186
871117,ET8711178
871116,ET871116K
871115,ET8711151
871114,ET8711143
871113,ET8711135
871112,ET8711127
871111,ET8711119
871110,ET8711100
871109,ET8711097
871108,ET8711089
871107,ET8711070
871106,ET8711062
871105,ET8711054
871104,ET8711046
871103,ET8711038
871102,ET871102K
871101,ET8711011
871100,ET8711003
871099,ET8710996
871098,ET8710988
871097,ET871097K
871096,ET8710961
871095,ET8710953
871094,ET8710945
871093,ET8710937
871092,ET8710929
871091,ET8710910
871090,ET8710902
871089,ET8710899
871088,ET8710880
871087,ET8710872
871085,ET8710856
871084,ET8710848
871083,ET871083K
871082,ET8710821
871081,ET8710813
871080,ET8710805
871079,ET8710791
871078,ET8710783
871077,ET8710775
871076,ET8710767
871075,ET8710759
871074,ET8710740
871073,ET8710732
871072,ET8710724
871071,ET8710716
871070,ET8710708
871069,ET8710694
871068,ET8710686
871067,ET8710678
871066,ET871066K
871065,ET8710651
871064,ET8710643
871063,ET8710635
871062,ET8710627
871061,ET8710619
871060,ET8710600
871059,ET8710597
871058,ET8710589
871057,ET8710570
871056,ET8710562
871055,ET8710554
871054,ET8710546
871053,ET8710538
871052,ET871052K
871051,ET8710511
871050,ET8710503
871049,ET871049K
871048,ET8710481
871047,ET8710473
871046,ET8710465
871045,ET8710457
871044,ET8710449
871043,ET8710430
871042,ET8710422
871041,ET8710414
871040,ET8710406
871039,ET8710392
871038,ET8710384
871037,ET8710376
871036,ET8710368
871026,ET8710260
871025,ET8710252
871024,ET8710244
871023,ET8710236
871022,ET8710228
871021,ET871021K
871020,ET8710201
